artist_name,artist_id
陈奕迅,2116
林俊杰,3684
郑润泽,29051613
薛之谦,5781
颜人中,31376161
方大同,2738
汪苏泷,5538
李荣浩,4292
Top Barry,49141872
h3R3,12631485
许嵩,5771
陶喆,5196
马也_Crabbit,13288861
毛不易,12138269
张杰,6472
贝乐虎儿歌,30109388
队长,1143033
赵雷,6731
王力宏,5346
华晨宇,861777
马思唯,1132392
梁博,166010
王以太,12236125
周深,1030001
DJ阿智,58149097
艾志恒Asen,12198387
mac ova seas,30704161
胡彦斌,3066
王赫野,47091532
Gareth.T,32944030
加木,49320722
郭顶,2843
艾热 AIR,1203045
卢广仲,3690
余佳运,1079074
张学友,6460
周传雄,6652
王杰,5358
TC,12324449
周兴哲,980025
Wiz_H张子豪,13112601
罗言,33863232
徐良,5929
法老,865007
连麻Swimming,12064019
Capper,12193174
张信哲,6454
余翊,121386880
TizzyT,1204010
SASIOVERLXRD,14117457
GALI,12127362
LBI利比,12277194
古巨基,2849
JinJiBeWater_隼,13451886
TINY7,33204812
曹格,2110
MoreLearn 27,31002901
周柏豪,6479
GAI周延,1211046
Starling8,36772893
大头针,98996730
FIVESTAR,51613721
Rapeter,12563131
Pank,36341115
DJ小小智,62020225
李健,3695
沙一汀EL,31561897
杜宣达,12060040
韦礼安,5379
罗森涛,48082785
杨宗纬,6066
林达浪,15199791
Zy,37123911
梓渝,46974963
张震岳,6453
DJ铁柱,53212744
黄子弘凡,34862670
陈楚生,2124
鹿晗,1038093
邵帅,29392693
KnowKnow,27868624
哦漏,1085108
王朝1982,12051106
沈以诚,12002248
DJ阿布,58160751
蔡徐坤,12932368
高旭,33900743
谭咏麟,5205
许巍,5770
Ice Paper,12121264
ET,49513323
李克勤,3699
杨和苏KeyNG,13899303
李宗盛,3683
海洋Bo,36985903
陆虎,3793
王震,5520
宝石Gem,12084497
en（王翊恩）,32220939
ljz329,51957057
G.E.M.邓紫棋,7763
孙燕姿,9272
陈粒,1007170
蔡健雅,7214
王菲,9621
杨丞琳,10199
梁静茹,8325
Dizzy Dizzo (蔡诗芸),7245
徐佳莹,9940
黄丽玲,7063
单依纯,29802127
郭静,7760
莫文蔚,8926
蔡依林,7219
Suki刘舒妤,8643
林忆莲,8336
容祖儿,9269
张韶涵,10562
王贰浪,14312549
陈绮贞,7217
张碧晨,1024308
王心凌,9606
任然,9255
萧亚轩,9945
黄龄,7890
梨冻紧,33259235
邹沛沛,48345452
王艳薇,12871122
AGA,768208
刘若英,8326
金海心,8151
银临,188565
李毓芬,12033011
王唯旖,12232132
姚晓棠,33709222
刘大拿,29588305
丁当,7534
阿YueYue,12227865
那英,9061
梁咏琪,8329
郭采洁,7762
洛天依Official,906118
杨千嬅,10204
张叶蕾,12213291
黄诗扶,12308369
买辣椒也用券,12085562
邓丽君,7570
张靓颖,10561
黄霄雲,14077324
庄东茹（豆芽鱼）,12937171
张芸京,10572
陈慧娴,7225
周星星,12157330
韩红,7891
曾沛慈,10763
张惠妹,10559
Aki阿杰,188558
菲菲公主（陆绮菲）,37044972
卓文萱,10566
孙盛希,954154
花粥,8103
无面小生,31347027
袁娅维TIA RAY,10473
万妮达Vinida Weng,12001060
王睿卓,52113028
何曼婷,8022
谭维维,9489
王宇宙Leto,49144727
陈壹千,12077204
阿肆,7122
洛天依,59655434
小凌,29393616
范玮琪,7652
卫兰,9605
江语晨,8153
yihuik苡慧,36032190
任素汐,1054159
谢安琪,9952
蒋雪儿Snow.J,8234
唐伯虎Annie,1193004
曲婉婷,9178
彭佳慧,9102
唐嫣,9539
池澜,121589895
郁可唯,10200
司南,28863695
刘惜君,8334
黄小琥,7896
尹昔眠,12316248
银翼杀手,121656098
VaVa娃娃,1038099
叶蒨文,10209
苏星婕,46966451
王若琳,9604
薛凯琪,9944
双笙（陈元汐）,12025552
所长sama,98722763
林依晨,8335
吴雨霏,9615
金玟岐,893259
INDEcompany,51265187
五月天,13193
Beyond,11127
宝宝巴士,14714082
儿歌多多,35318954
HOYO-MiX,12487174
告五人,12676697
By2,11097
七朵组合,12651
凤凰传奇,11564
群星,122455
塞壬唱片-MSR,32540734
国风堂,31862479
Higher Brothers,12002201
伍佰 & China Blue,222871
Lost Team,1049223
deca joins,12463331
回春丹,27730224
F.I.R.,11562
音阙诗听,12174521
草蜢,11265
房东的猫,1050282
口古口古,60685046
SETI,33216986
南征北战NZBZ,189873
草东没有派对,1161122
三Z-STUDIO,94007859
逃跑计划,12977
棱镜乐队,1085047
RICHNOMADIC,33165901
苏打绿,12707
梦飞船,12276
中国娃娃,13595
青鸟飞鱼,12604
福禄寿FloruitShow,29393033
夏日入侵企画,12383009
Dance Flow,11437
ONER,29148386
万能青年旅店,13223
ZaZaZsu咂咂苏,12386935
Fine乐团,1160085
英雄联盟,1047337
痛仰乐队,12971
时代少年团,33806754
音乐休憩站,59638630
TFBOYS,827728
新街口组合,13333
与少年他,35037364
ChiliChill乐团,34477557
Twins,12985
听潮阁,60977837
小河狸贝瓦,14200958
新裤子,13282
三人行影音工作室,49802607
信乐团,13283
火滚音乐,56801822
88rising,15022053
DOUDOU,57076584
淘子宿舍,60607005
半吨兄弟,34633032
DIGI GHETTO,33693423
404 RAPPER,30003804
姜辰辰,58731561
小蓓蕾组合,166005
犬儒乐队,53394308
至上励合,13584
八三夭,11109
恋恋故人难,32041318
茄子蛋,1039873
SORROWSYMPH,99766578
小虎队,13286
儿歌宝贝,33525035
好妹妹乐队,711683
太极乐队,12992
