music_name,music_id
富士山下,65766
十面埋伏,409931770
孤独患者,64093
最佳损友,65800
淘汰,65528
稳稳的幸福,25730757
爱情转移,65536
不要说话,25906124
十年,66842
好久不见,65538
葡萄成熟时,66285
孤勇者,1901371647
单车,65592
因为爱情,64317
阴天快乐,28563317
红玫瑰,65533
浮夸,66282
陀飞轮,64638
K歌之王,67467
无条件,473194652
粤语残片,65778
苦瓜,64293
陪你度过漫长岁月,35403523
落花流水,64922
岁月如歌,66823
明年今日,65952
圣诞结,65355
一丝不挂,64634
不如不见,65769
爱是一本书,65540
白玫瑰,65761
无人之境,64625
内疚,64126
任我行,27483202
是但求其爱,1496602290
沙龙,64833
心的距离,64699
于心有愧,64797
失忆蝴蝶,27483203
倾城 (Live),27867449
你的背包,65334
兄妹,66841
我们万岁,1323304980
我们,551816010
可以了,28481818
完,64048
Shall We Talk,67411
你给我听好,28481103
娱乐天空,28481104
K歌之王 AIR (Day Version),2756303345
Always Online,108485
江南,108914
愿与愁,2041026502
可惜没如果,29814898
修炼爱情,25727803
当你,108251
美人鱼,108931
我还想她,108493
心墙,108263
不潮不用花钱,108463
将故事写成我们,1391477429
那些你很冒险的梦,108138
新地球,29774171
学不会,108134
背对背拥抱,26305547
一生的爱,108267
她说,108242
达尔文,2019573476
手心的蔷薇,29848657
浪漫血液,29850683
茉莉雨,1366053680
不死之身,108810
爱笑的眼睛,108245
曹操,108795
不为谁而作的歌,1468115100
醉赤壁,108478
裂缝中的阳光,25794009
恨幸福来过,2019562367
过,1804879213
黑夜问白天 (Live),2751381348
爱不会绝迹,108428
加油！,108406
冻结,108965
小酒窝,26305541
飞云之下,554242032
一千年以后,108886
一眼万年,108254
只对你有感觉,108248
我怀念的 (Live),440207933
记得,108269
爱要怎么说出口 (Live),450222687
关键词,40147554
交换余生,1479003964
黑武士,108473
第几个100天,26305544
编号89757,108858
杀手,108543
不流泪的机场,108578
期待爱,108503
光阴副本,2659883777
如果呢,1842728629
于是,1303464858
小胡同,1926623288
你,1406083061
瞬,2063864551
绽放,2025186889
遐想,2018733994
遇见,1345571065
你（正式版）,1996909642
NUNA3.0,2080177728
平行线,1983761233
忘记,2105435473
break,1398726570
雨天,2006747976
关于你,2089114348
就让这大雨全都落下,2024035483
彻夜,2007336134
不见不离开,2025186881
城外,2046186937
晴朗天空,3322357952
距离,2089113495
坠,2154889185
槿,2650813807
解脱,1897016511
白板,2725509896
失落盛行,2083417395
Violet,1881426227
某天,2025185352
你已把我的心磨平,2025185434
心愿,3332373278
目民,1969565566
模糊不清的孤独,2123822458
Karma 1,1473261102
遗忘周,2165457999
余温,1915292143
等下次,3332371278
耳塞,3339745339
LOVE,2009017158
If you,1864819164
其实不难,2740531366
想念你的日子,3312198109
十八点,1953869753
小白,2659260745
我们很好,2025185392
废话文学,3319722018
哎哟,3332371294
小微光,2144606630
换,2118850756
WAVE,2163309687
无关紧要,3332371315
其实,27955654
演员,32507038
天外来物,1463165983
怪咖,574921549
认真的雪,169185
我好像在哪见过你,417859631
像风一样,516657051
暧昧,471385043
你还要我怎样,27955653
小尖尖,1473782328
意外,27890306
陪你去流浪,1374056689
刚刚好,415792881
租购,2648841571
湖泊,3349578101
天份,1334647784
动物世界,468517654
绅士,32192436
那是你离开了北京的生活,571340283
丑八怪,27808044
一半,35528482
平庸 (Live),3315586072
方圆几里,27955658
野心,1803349526
等我回家,27955652
这么久没见,1374061036
迟迟,1808053189
农民与土地 (Live),3322410882
顽疾 (Live),2758218600
耗尽,1498342485
霸王别姬,2747836950
无数,1982706733
天后 (Live),519250411
崇拜,2055887708
变废为宝,1861640530
跃,2726242405
哑巴,557583281
来日方长,429450375
下雨了,32507039
木偶人,1374051000
违背的青春,1307334195
遗憾 (Live),512489621
聊表心意,1374061043
最好,1294910785
笑场,1374061038
念,2064033095
让我欢喜让我忧 (Live),2067808196
友情提示 (Live),3330124293
人字拖 (Live),3327897359
占有（Live）,3335225812
嗜好,1391891631
晚安,1359356908
我只能离开,1398283847
有些,1406649619
夏夜最后的烟火,1482867143
My love,1493976789
你想要的,1434309927
祝你爱我到天荒地老,1369601580
某年某月某天,1454723856
下一个天亮,1958150862
遇到,1449794966
孤单心事,1361988914
篡改,1923203217
很需要,1396023850
有可能的夜晚,1344814341
骂醒我 (live),3330453730
追风,1377544581
当你,2004646133
想说,1461142410
一种原谅,1406648887
阳光下的星星 (live),3327857283
藏不住,3334618938
一直很安静 (live),3320331526
爱到你说,2111061739
不值得 (live),3347120567
你和我和猫,1412013401
躺在你怀里做一场梦,2606096103
女孩,1994784443
颜料,1853542439
假装没变过,1406648891
缓缓,2624575315
恶作剧 (Live版),2060036848
故乡的云 (live),3347121403
总有一天你会知道,1440176324
好喜欢你,1381794108
麦子 (live),3342247155
Till We Fall in Love,1911556553
不在,1493975574
恋人未满 (live),3339756941
处处遗憾,1832622345
每一秒钟,1905012469
陪我寂寞,1493981171
不舍,1844442105
定格,1877027589
一个人,1406648893
爱就一个字 (live),3320330744
各说各话,2606098700
烂醉,1417818709
姗姗 (live),3344662388
龙的传人 (live),3344663199
特别的人,28403111
麦恩莉,25648006
才二十三,2619125556
Love Song,82360
爱爱爱,82453
天气先生,28387868
红豆,28029104
春风吹,82486
三人游,28029112
关于爱的定义,25648005
因为你,1462515184
为你写的歌,82203
每个人都会 (song for Cartier [Love Project]),82194
听,431855964
爱在,82366
回留,2635125903
BB88,81890
黑白,82181
枫叶做的风铃,28406199
苏丽珍,82455
小小虫,28029120
谁知爱是什么,2635125901
好不容易,81997
白发,1355916145
复刻回忆,306930
